m,k,n,latency_us,mfu
32768,1024,4096,1253.206,0.703012
1,1024,8192,20.106,0.002674
2,1024,8192,19.852,0.005417
4,1024,8192,19.818,0.010854
8,1024,8192,20.983,0.020502
16,1024,8192,19.661,0.043761
32,1024,8192,18.979,0.090663
64,1024,8192,20.074,0.171439
128,1024,8192,23.36,0.294654
256,1024,8192,43.041,0.319834
512,1024,8192,58.813,0.468128
1024,1024,8192,90.139,0.610875
2048,1024,8192,170.757,0.644935
4096,1024,8192,318.276,0.692023
8192,1024,8192,623.503,0.706507
16384,1024,8192,1217.252,0.723777
32768,1024,8192,2504.585,0.703525
1,1024,14336,22.381,0.004205
2,1024,14336,21.064,0.008935
4,1024,14336,21.097,0.017842
8,1024,14336,21.14,0.035612
16,1024,14336,21.881,0.068809
32,1024,14336,22.581,0.133353
64,1024,14336,22.783,0.26434
128,1024,14336,36.839,0.326966
256,1024,14336,71.162,0.33853
512,1024,14336,107.257,0.449207
1024,1024,14336,139.122,0.692639
2048,1024,14336,256.243,0.752111
4096,1024,14336,600.5,0.641875
8192,1024,14336,1071.464,0.719475
16384,1024,14336,2155.259,0.715359
32768,1024,14336,4317.02,0.714281
1,1024,131072,214.816,0.004005
2,1024,131072,203.604,0.008451
4,1024,131072,205.532,0.016744
8,1024,131072,207.564,0.033161
16,1024,131072,212.421,0.064805
32,1024,131072,215.349,0.127848
64,1024,131072,229.026,0.240425
128,1024,131072,264.284,0.416701
256,1024,131072,335.176,0.657132
512,1024,131072,599.168,0.735203
1024,1024,131072,1244.518,0.70792
2048,1024,131072,2469.741,0.71345
4096,1024,131072,5032.63,0.700245
8192,1024,131072,10060.471,0.700579
16384,1024,131072,20007.661,0.704545
32768,1024,131072,40041.329,0.704088
1,2048,128,17.185,9.8e-05
2,2048,128,20.165,0.000167
4,2048,128,19.515,0.000344
8,2048,128,21.429,0.000627
16,2048,128,22.05,0.001219
32,2048,128,22.163,0.002426
64,2048,128,22.604,0.004758
128,2048,128,22.856,0.009411
256,2048,128,22.429,0.01918
512,2048,128,22.6,0.038069
1024,2048,128,19.74,0.087172
2048,2048,128,25.443,0.135262
4096,2048,128,21.611,0.318494
8192,2048,128,40.765,0.337693
16384,2048,128,79.861,0.344747
32768,2048,128,153.295,0.3592
1,2048,256,17.971,0.000187
2,2048,256,19.208,0.00035
4,2048,256,19.381,0.000694
8,2048,256,21.874,0.001229
16,2048,256,22.118,0.002431
32,2048,256,21.709,0.004954
64,2048,256,22.99,0.009356
128,2048,256,22.655,0.018988
256,2048,256,23.222,0.03705
512,2048,256,19.296,0.089176
1024,2048,256,19.761,0.174157
2048,2048,256,22.569,0.304977
4096,2048,256,28.23,0.487634
8192,2048,256,58.81,0.468149
16384,2048,256,104.668,0.52608
32768,2048,256,183.132,0.601355
1,2048,512,17.198,0.000391
2,2048,512,19.821,0.000678
4,2048,512,19.219,0.001399
8,2048,512,22.229,0.002419
16,2048,512,21.882,0.004915
32,2048,512,20.98,0.010252
64,2048,512,24.756,0.017377
128,2048,512,22.038,0.03904
256,2048,512,21.683,0.07936
512,2048,512,19.045,0.1807
1024,2048,512,20.738,0.331895
2048,2048,512,33.315,0.413202
4096,2048,512,55.115,0.499539
8192,2048,512,84.316,0.653064
16384,2048,512,145.549,0.756637
32768,2048,512,280.721,0.784605
1,2048,1024,18.666,0.00072
2,2048,1024,19.952,0.001348
4,2048,1024,19.931,0.002698
8,2048,1024,21.462,0.005011
16,2048,1024,21.614,0.009951
32,2048,1024,22.347,0.019251
64,2048,1024,22.545,0.038163
128,2048,1024,19.839,0.086733
256,2048,1024,20.152,0.170779
512,2048,1024,20.036,0.343528
1024,2048,1024,33.402,0.412131
2048,2048,1024,54.747,0.502888
4096,2048,1024,83.662,0.65817
8192,2048,1024,156.418,0.704057
16384,2048,1024,288.438,0.763612
32768,2048,1024,543.667,0.810256
1,2048,2048,18.503,0.001453
2,2048,2048,22.468,0.002393
4,2048,2048,23.516,0.004573
8,2048,2048,23.162,0.009287
16,2048,2048,21.588,0.019927
32,2048,2048,21.97,0.039161
64,2048,2048,19.271,0.08929
128,2048,2048,19.187,0.179363
256,2048,2048,21.988,0.313036
512,2048,2048,36.34,0.378813
1024,2048,2048,49.669,0.554301
2048,2048,2048,82.416,0.668118
4096,2048,2048,170.933,0.64427
8192,2048,2048,298.795,0.737144
16384,2048,2048,592.691,0.743237
32768,2048,2048,1210.251,0.727964
1,2048,4096,19.121,0.002812
2,2048,4096,19.703,0.005458
4,2048,4096,19.396,0.01109
8,2048,4096,20.041,0.021465
16,2048,4096,19.475,0.044178
32,2048,4096,19.593,0.087826
