b1,b2,m,k,n,latency_us,mfu
1,16,8,256,2048,15.142,0.028411
1,16,16,256,2048,14.936,0.057602
1,16,32,256,2048,15.102,0.113938
1,16,64,256,2048,14.888,0.231162
1,16,128,256,2048,24.332,0.282875
1,16,256,256,2048,46.392,0.296731
1,16,512,256,2048,74.373,0.370186
1,16,1024,256,2048,143.83,0.382838
1,16,2048,256,2048,257.693,0.427358
1,16,4096,256,2048,501.126,0.439519
1,16,1,256,4096,29.409,0.003657
1,16,2,256,4096,29.294,0.007343
1,16,4,256,4096,29.715,0.014477
1,16,8,256,4096,31.368,0.027428
1,16,16,256,4096,34.351,0.050092
1,16,32,256,4096,38.101,0.090325
1,16,64,256,4096,42.511,0.161909
1,16,128,256,4096,53.111,0.259193
1,16,256,256,4096,78.125,0.352408
1,16,512,256,4096,144.255,0.38171
1,16,1024,256,4096,270.902,0.406521
1,16,2048,256,4096,525.861,0.418846
1,16,4096,256,4096,1004.569,0.438506
1,16,1,512,128,14.077,0.000477
1,16,2,512,128,13.964,0.000963
1,16,4,512,128,14.005,0.00192
1,16,8,512,128,13.983,0.003846
1,16,16,512,128,13.99,0.007687
1,16,32,512,128,13.913,0.01546
1,16,64,512,128,14.007,0.030712
1,16,128,512,128,14.367,0.059886
1,16,256,512,128,14.845,0.115911
1,16,512,512,128,15.714,0.219012
1,16,1024,512,128,22.688,0.303377
1,16,2048,512,128,45.279,0.304023
1,16,4096,512,128,73.945,0.372327
1,16,1,512,256,14.492,0.000928
1,16,2,512,256,13.977,0.001924
1,16,4,512,256,13.927,0.003861
1,16,8,512,256,14.189,0.007579
1,16,16,512,256,14.025,0.015336
1,16,32,512,256,14.694,0.029276
1,16,64,512,256,14.407,0.059721
1,16,128,512,256,14.661,0.117372
1,16,256,512,256,15.696,0.21926
1,16,512,512,256,22.896,0.30062
1,16,1024,512,256,35.51,0.38766
1,16,2048,512,256,56.779,0.484896
1,16,4096,512,256,95.687,0.575456
1,16,1,512,512,14.661,0.001834
1,16,2,512,512,14.245,0.003775
1,16,4,512,512,14.111,0.007622
1,16,8,512,512,14.074,0.015282
1,16,16,512,512,14.234,0.030223
1,16,32,512,512,14.152,0.060796
1,16,64,512,512,14.012,0.122807
1,16,128,512,512,18.809,0.182969
1,16,256,512,512,22.801,0.301872
1,16,512,512,512,35.436,0.388478
1,16,1024,512,512,59.297,0.464307
1,16,2048,512,512,89.115,0.617896
1,16,4096,512,512,161.457,0.682084
1,16,1,512,1024,15.291,0.003517
1,16,2,512,1024,14.687,0.007323
1,16,4,512,1024,14.656,0.014676
1,16,8,512,1024,14.672,0.02932
1,16,16,512,1024,15.548,0.055337
1,16,32,512,1024,16.536,0.104061
1,16,64,512,1024,18.846,0.182611
1,16,128,512,1024,28.118,0.24479
1,16,256,512,1024,34.256,0.401853
